"mean","std","rms","max","min","acosxy","acosyz","acosxz","label"
9.77078610255814,0.49677121547187,11.2909660150631,8.10522086157955,3.12582566733306,2.77628225501744,0.362103686624615,2.91901922912237,1
9.75921160177292,0.262026507979621,11.2909660150631,8.93578217891352,3.12397368775297,3.05176557145381,0.097769098672507,3.0658093587582,1
9.73380864033951,0.10229585573056,10.0932187338684,9.25213181177391,3.1199052293843,2.98747282396527,0.152092002780394,3.08861515650098,1
9.73132824136056,0.19394633552887,10.5154121209646,9.21449034550988,3.1195076921464,2.90279116648329,0.16034546397004,2.9747468752269,1
9.72912108977873,0.324390953652103,10.753773524566,8.65651666583666,3.11915390607433,2.79236454750381,0.303119370773955,2.96839407062318,1
9.72329160399401,0.457904337132406,10.753773524566,8.65651666583666,3.11821930017663,2.82272528872882,0.296405880808077,3.0163509994062,1
9.74402193489023,0.378516522075122,10.5276071516657,8.66193478152011,3.121541595893,2.98407877560885,0.104761498863905,3.03948733679078,1
9.74792493873644,0.106290680833301,10.0243512033154,9.31162098172692,3.12216670578886,3.08130919245175,0.0421157570565606,3.09856783972012,1
9.73996395623805,0.0476317592207218,9.85651208368293,9.5445791028125,3.12089153227696,3.08284471357933,0.0454788216638721,3.11297942561869,1
9.74181813649556,0.0377635624369006,9.8500429943332,9.65457130845605,3.12118857752869,3.08026438512192,0.0470299507176571,3.11002626834161,1
9.74209472678942,0.0456687465942781,9.88420184898475,9.56479396947467,3.12123288570229,3.06488677956582,0.0526924816025398,3.07840395677068,1
9.74128670297226,0.0659060215105433,9.90750186209059,9.56220518422593,3.12110344317074,3.04850045073048,0.0577861818296368,3.06897285014826,1
9.73888576064544,0.0695764941923468,9.90750186209059,9.56220518422593,3.12071878910059,3.06671592102137,0.0486125435546133,3.09188624020097,1
9.73349691518386,0.0584583205884743,9.90401611259622,9.54194546146508,3.11985527151242,3.0524323110812,0.0687592987740271,3.0976981769096,1
